eta_c,C_D,K_back,CR_passive,eta_open,unresolved_fraction,converged,scattering,mean_wall_hits,mass_kg,alpha,theta_deg,L_over_d,phi,d_mm,species
0.5238655852365126,2.74160079330936,0.1872,211.8336877759535,0.6573333333333333,0.0,True,cll,9.631,2.21373,1.0,5.0,5,0.8,10.0,N2
0.9,2.708567624049933,0.999,60.61854404129283,1.0,0.0,True,cll,0.5450833333333334,2.490075,0.0,0.0,5,0.9,10.0,N2
0.8994517443171862,2.705259591489243,0.9997,60.539197004360304,1.0,0.0,True,cll,0.5764166666666667,2.490075,0.0,2.0,5,0.9,10.0,N2
0.896575228282571,2.688217695665743,0.9997,60.34558798419216,1.0,0.0,True,cll,0.7548333333333334,2.490075,0.0,5.0,5,0.9,10.0,N2
0.9,2.708567624049933,0.59055,102.54495893193044,1.0,0.0,True,cll,0.5510833333333334,2.490075,0.2,0.0,5,0.9,10.0,N2
0.8994517443171862,2.705259591489243,0.5829,103.82747511624464,1.0,0.0,True,cll,0.5825,2.490075,0.2,2.0,5,0.9,10.0,N2
0.896575228282571,2.688217695665743,0.58985,102.27597576976672,1.0,0.0,True,cll,0.7658333333333334,2.490075,0.2,5.0,5,0.9,10.0,N2
0.9,2.708567624049933,0.367,165.00797138215677,1.0,0.0,True,cll,0.5694166666666667,2.490075,0.5,0.0,5,0.9,10.0,N2
0.8994517443171862,2.705259591489243,0.36745,164.70549801404,1.0,0.0,True,cll,0.6010833333333333,2.490075,0.5,2.0,5,0.9,10.0,N2
0.896575228282571,2.688217695665743,0.36655,164.58186961614214,1.0,0.0,True,cll,0.7891666666666667,2.490075,0.5,5.0,5,0.9,10.0,N2
0.8985,2.7088355757795863,0.24275,249.05044540235957,0.9983333333333332,0.0,True,cll,0.7086666666666667,2.490075,0.8,0.0,5,0.9,10.0,N2
0.8975778865165255,2.705573341361494,0.2449,246.61065641145248,0.9979166666666668,0.0,True,cll,0.7730833333333333,2.490075,0.8,2.0,5,0.9,10.0,N2
0.8936613587906527,2.6886844510087657,0.25115,239.42432802626547,0.99675,0.0,True,cll,1.0464166666666668,2.490075,0.8,5.0,5,0.9,10.0,N2
0.6644249999999999,2.743611562804957,0.1961,227.98005353567535,0.73825,0.0,True,cll,7.41775,2.490075,1.0,0.0,5,0.9,10.0,N2
0.6583237225281539,2.7409193643453498,0.19085,232.1003635311806,0.7319166666666667,0.0,True,cll,7.68525,2.490075,1.0,2.0,5,0.9,10.0,N2
0.5893487833910767,2.734087055343275,0.1872,211.83368777595356,0.6573333333333333,0.0,True,cll,9.631,2.490075,1.0,5.0,5,0.9,10.0,N2
0.8,2.72124055266424,0.99965,60.579128192118766,1.0,0.0,True,cll,1.0934166666666667,4.42449,0.0,0.0,10,0.8,10.0,N2
0.7995126616152767,2.7179275087786734,0.99975,60.53616928758088,1.0,0.0,True,cll,1.1646666666666667,4.42449,0.0,2.0,10,0.8,10.0,N2
0.7969557584733965,2.700828029151554,0.99955,60.3546438975508,1.0,0.0,True,cll,1.4953333333333334,4.42449,0.0,5.0,10,0.8,10.0,N2
0.8,2.72124055266424,0.4466,135.59768360333973,1.0,0.0,True,cll,1.1274166666666667,4.42449,0.2,0.0,10,0.8,10.0,N2
0.7995126616152767,2.7179275087786734,0.4469,135.42411108807113,1.0,0.0,True,cll,1.19225,4.42449,0.2,2.0,10,0.8,10.0,N2
0.7969557584733965,2.700828029151554,0.4479,134.6896278361172,1.0,0.0,True,cll,1.53075,4.42449,0.2,5.0,10,0.8,10.0,N2
0.8,2.72124055266424,0.2408,251.4864015666592,1.0,0.0,True,cll,1.272333333333333,4.42449,0.5,0.0,10,0.8,10.0,N2
0.7990462792293344,2.71797822617472,0.24265,249.2715075542245,0.9994166666666666,0.0,True,cll,1.3649166666666666,4.42449,0.5,2.0,10,0.8,10.0,N2
0.7960259767551775,2.700979188157417,0.24565,245.2965692764956,0.9988333333333334,0.0,True,cll,1.7165,4.42449,0.5,5.0,10,0.8,10.0,N2
0.7720666666666667,2.725653707540527,0.1491,391.97481286813655,0.9650833333333332,0.0,True,cll,5.279,4.42449,0.8,0.0,10,0.8,10.0,N2
0.7693310586393,2.722675549153914,0.1491,390.5859568393726,0.96225,0.0001666666666666,True,cll,5.22275,4.42449,0.8,2.0,10,0.8,10.0,N2
0.7497361297838477,2.708169490524528,0.148,383.46676258486445,0.94075,8.333333333333333e-05,True,cll,7.563833333333333,4.42449,0.8,5.0,10,0.8,10.0,N2
0.4347333333333333,2.776512576586455,0.1139,288.92173848959413,0.5434166666666667,8.333333333333333e-05,True,cll,33.143166666666666,4.42449,1.0,0.0,10,0.8,10.0,N2
