alt_km,f107,rho,fO,fN2,fO2,T
1.94000000e+02,1.00000000e+02,2.62313088e-10,4.18005453e-01,5.32864416e-01,4.91301313e-02,8.12990784e+02
1.96000000e+02,1.00000000e+02,2.45122284e-10,4.26161226e-01,5.25941729e-01,4.78970443e-02,8.16920715e+02
1.98000000e+02,1.00000000e+02,2.29259264e-10,4.34302628e-01,5.19002482e-01,4.66948897e-02,8.20659790e+02
2.00000000e+02,1.00000000e+02,2.14603418e-10,4.42427782e-01,5.12049795e-01,4.55224235e-02,8.24217712e+02
2.02000000e+02,1.00000000e+02,2.01046693e-10,4.50534533e-01,5.05087229e-01,4.43782377e-02,8.27603699e+02
2.04000000e+02,1.00000000e+02,1.88492319e-10,4.58620281e-01,4.98118363e-01,4.32613555e-02,8.30826477e+02
2.06000000e+02,1.00000000e+02,1.76853601e-10,4.66682476e-01,4.91146885e-01,4.21706386e-02,8.33894043e+02
2.08000000e+02,1.00000000e+02,1.66052408e-10,4.74719129e-01,4.84175630e-01,4.11052410e-02,8.36814514e+02
2.10000000e+02,1.00000000e+02,1.56018601e-10,4.82727596e-01,4.77208209e-01,4.00641945e-02,8.39595154e+02
2.12000000e+02,1.00000000e+02,1.46688592e-10,4.90705225e-01,4.70247980e-01,3.90467950e-02,8.42242859e+02
2.14000000e+02,1.00000000e+02,1.38005121e-10,4.98650025e-01,4.63297711e-01,3.80522642e-02,8.44764587e+02
2.16000000e+02,1.00000000e+02,1.29916120e-10,5.06559106e-01,4.56360897e-01,3.70799967e-02,8.47166382e+02
2.18000000e+02,1.00000000e+02,1.22374597e-10,5.14430051e-01,4.49440719e-01,3.61292302e-02,8.49454163e+02
2.20000000e+02,1.00000000e+02,1.15337691e-10,5.22260749e-01,4.42539722e-01,3.51995291e-02,8.51633850e+02
2.22000000e+02,1.00000000e+02,1.08766364e-10,5.30047947e-01,4.35661747e-01,3.42903059e-02,8.53710510e+02
2.24000000e+02,1.00000000e+02,1.02625249e-10,5.37789949e-01,4.28808992e-01,3.34010594e-02,8.55689453e+02
2.26000000e+02,1.00000000e+02,9.68818775e-11,5.45483907e-01,4.21984718e-01,3.25313754e-02,8.57575378e+02
2.28000000e+02,1.00000000e+02,9.15066564e-11,5.53127885e-01,4.15191330e-01,3.16807853e-02,8.59373047e+02
2.30000000e+02,1.00000000e+02,8.64726207e-11,5.60719255e-01,4.08431827e-01,3.08489184e-02,8.61086548e+02
2.32000000e+02,1.00000000e+02,8.17548737e-11,5.68256185e-01,4.01708434e-01,3.00353812e-02,8.62720215e+02
2.34000000e+02,1.00000000e+02,7.73307182e-11,5.75735936e-01,3.95024260e-01,2.92398042e-02,8.64277710e+02
2.36000000e+02,1.00000000e+02,7.31793307e-11,5.83156470e-01,3.88381653e-01,2.84618767e-02,8.65763062e+02
2.38000000e+02,1.00000000e+02,6.92814833e-11,5.90516016e-01,3.81782742e-01,2.77012417e-02,8.67179504e+02
2.40000000e+02,1.00000000e+02,6.56195723e-11,5.97812690e-01,3.75229722e-01,2.69575883e-02,8.68530457e+02
2.42000000e+02,1.00000000e+02,6.21773050e-11,6.05043795e-01,3.68725565e-01,2.62306399e-02,8.69818970e+02
2.44000000e+02,1.00000000e+02,5.89397420e-11,6.12208187e-01,3.62271689e-01,2.55201247e-02,8.71048523e+02
2.46000000e+02,1.00000000e+02,5.58930228e-11,6.19303782e-01,3.55870472e-01,2.48257460e-02,8.72221375e+02
2.48000000e+02,1.00000000e+02,5.30244217e-11,6.26328889e-01,3.49523889e-01,2.41472222e-02,8.73340698e+02
2.50000000e+02,1.00000000e+02,5.03221249e-11,6.33282032e-01,3.43233667e-01,2.34843014e-02,8.74408813e+02
2.52000000e+02,1.00000000e+02,4.77752247e-11,6.40161477e-01,3.37001794e-01,2.28367299e-02,8.75428101e+02
2.54000000e+02,1.00000000e+02,4.53736111e-11,6.46966050e-01,3.30829720e-01,2.22042300e-02,8.76401184e+02
2.56000000e+02,1.00000000e+02,4.31079304e-11,6.53694064e-01,3.24719363e-01,2.15865739e-02,8.77330017e+02
