# Song, Cho, Karwasz, Kokoouline & Tennyson, J. Phys. Chem. Ref. Data 52, 023104 (2023), doi:10.1063/5.0150618,
# Fig. 19, vector paths from the NSF Public Access Repository copy https://par.nsf.gov/servlets/purl/10526876
# (sha256 f35b73d1f5f11291e6d844cdd8e324f99b6f5b17a9661d2568fca59e9604875d); extracted by scripts/chemistry/n2_domain_extension_requirements.py --extract-fig19.
# Frame: x log10 from ticks 10 eV (x=348.774 pt) and 1000 eV (534.467 pt); y linear from ticks 0.0 (223.626 pt)
# and 3.0 (86.866 pt) in 1e-16 cm^2. Series identified by the figure LEGEND (Majeed = green dashed, Kawaguchi =
# magenta solid); the caption says the reverse (broken/solid) - the text (Kawaguchi 'somewhat lower', Majeed uses
# Cosby) agrees with the legend. Markers: bounding-box centre (anchor ambiguity <= 0.5 pt ~ 0.011e-16 cm^2).
# Evidence: digitized (vector) from a secondary figure; MS1997/Kawaguchi primaries not accessed (abstract only).
series,x_pt,y_pt,E_eV,sigma_1e-16cm2
MS1997_curve,497.2790,196.5080,397.6197,0.59487
MS1997_curve,497.6790,196.6680,401.5837,0.59136
MS1997_curve,499.3570,197.3080,418.6479,0.57732
MS1997_curve,499.5180,197.3870,420.3229,0.57558
MS1997_curve,500.6390,197.7890,432.1721,0.56677
MS1997_curve,500.8780,197.8680,434.7412,0.56503
MS1997_curve,502.5570,198.5890,453.2256,0.54922
MS1997_curve,502.8770,198.6680,456.8367,0.54748
MS1997_curve,503.9170,199.0680,468.7727,0.53871
MS1997_curve,504.0760,199.1470,470.6248,0.53698
MS1997_curve,505.8360,199.7880,491.6214,0.52292
MS1997_curve,506.0750,199.8670,494.5440,0.52118
MS1997_curve,507.1960,200.2670,508.4856,0.51241
MS1997_curve,507.3540,200.3480,510.4819,0.51063
MS1997_curve,509.0350,200.9870,532.2131,0.49661
MS1997_curve,509.2740,201.0680,535.3770,0.49484
MS1997_curve,510.3140,201.3880,549.3650,0.48782
MS1997_curve,510.5550,201.4670,552.6582,0.48609
MS1997_curve,512.3140,202.1080,577.3004,0.47202
MS1997_curve,513.2730,202.4260,591.1950,0.46505
MS1997_curve,513.8330,202.6670,599.4628,0.45976
MS1997_curve,515.5120,203.2270,624.9508,0.44748
MS1997_curve,516.1520,203.4660,634.9491,0.44223
MS1997_curve,517.1120,203.7060,650.2473,0.43697
MS1997_curve,518.8720,204.3460,679.2577,0.42293
MS1997_curve,519.7500,204.5860,694.2103,0.41767
MS1997_curve,520.3110,204.8270,703.9362,0.41238
MS1997_curve,522.1500,205.3860,736.7840,0.40012
MS1997_curve,522.2290,205.3860,738.2289,0.40012
MS1997_curve,522.9490,205.7050,751.5291,0.39312
MS1997_curve,523.6700,205.9460,765.0878,0.38783
MS1997_curve,525.3491,206.4240,797.6199,0.37735
MS1997_curve,525.8290,206.5860,807.1695,0.37379
MS1997_curve,526.4680,206.7450,820.0627,0.37031
MS1997_curve,526.8690,206.9060,828.2587,0.36677
MS1997_curve,528.6290,207.3900,865.2110,0.35616
MS1997_curve,528.7880,207.4700,868.6294,0.35440
MS1997_curve,529.3491,207.6310,880.8011,0.35087
MS1997_curve,529.8290,207.7900,891.3465,0.34738
MS1997_curve,530.1480,207.8700,898.4261,0.34563
MS1997_curve,531.9070,208.4300,938.4856,0.33334
MS1997_curve,533.4280,208.9100,974.5620,0.32281
Kawaguchi2021_curve,362.3680,223.6260,14.0092,0.00000
Kawaguchi2021_curve,362.7670,223.3050,14.1485,0.00704
Kawaguchi2021_curve,362.8480,223.3050,14.1770,0.00704
Kawaguchi2021_curve,362.9280,223.2260,14.2051,0.00877
Kawaguchi2021_curve,363.0090,223.1460,14.2337,0.01053
Kawaguchi2021_curve,363.0090,223.2260,14.2337,0.00877
Kawaguchi2021_curve,363.0880,223.1460,14.2616,0.01053
Kawaguchi2021_curve,363.1670,223.0660,14.2896,0.01228
Kawaguchi2021_curve,363.2470,222.9850,14.3180,0.01406
Kawaguchi2021_curve,363.3270,222.9850,14.3464,0.01406
Kawaguchi2021_curve,363.4080,222.9060,14.3752,0.01579
Kawaguchi2021_curve,363.4870,222.8250,14.4034,0.01757
Kawaguchi2021_curve,363.5680,222.8250,14.4324,0.01757
Kawaguchi2021_curve,363.6470,222.7460,14.4607,0.01930
Kawaguchi2021_curve,363.7280,222.6650,14.4898,0.02108
Kawaguchi2021_curve,363.8070,222.5860,14.5182,0.02281
Kawaguchi2021_curve,363.8870,222.5070,14.5470,0.02455
Kawaguchi2021_curve,363.9680,222.5070,14.5763,0.02455
Kawaguchi2021_curve,364.0470,222.4270,14.6049,0.02630
Kawaguchi2021_curve,364.1280,222.3460,14.6342,0.02808
Kawaguchi2021_curve,364.2070,222.2650,14.6629,0.02986
Kawaguchi2021_curve,364.2870,222.1860,14.6920,0.03159
Kawaguchi2021_curve,364.3670,222.1860,14.7212,0.03159
Kawaguchi2021_curve,364.4470,222.1060,14.7505,0.03334
Kawaguchi2021_curve,364.5270,222.0259,14.7798,0.03510
Kawaguchi2021_curve,364.6070,221.9450,14.8091,0.03687
Kawaguchi2021_curve,364.6070,222.0259,14.8091,0.03510
Kawaguchi2021_curve,364.6870,221.8660,14.8385,0.03861
Kawaguchi2021_curve,364.7670,221.7870,14.8680,0.04034
Kawaguchi2021_curve,364.8470,221.7060,14.8975,0.04212
Kawaguchi2021_curve,364.8470,221.7870,14.8975,0.04034
Kawaguchi2021_curve,364.9270,221.6270,14.9271,0.04385
Kawaguchi2021_curve,365.0080,221.5460,14.9571,0.04563
Kawaguchi2021_curve,365.0870,221.4670,14.9864,0.04736
Kawaguchi2021_curve,365.0870,221.5460,14.9864,0.04563
Kawaguchi2021_curve,365.2470,221.3060,15.0460,0.05089
Kawaguchi2021_curve,365.3260,221.2250,15.0755,0.05267
Kawaguchi2021_curve,365.3260,221.3060,15.0755,0.05089
Kawaguchi2021_curve,365.4070,221.1460,15.1058,0.05440
Kawaguchi2021_curve,365.4860,221.0670,15.1355,0.05613
Kawaguchi2021_curve,365.5670,220.9860,15.1659,0.05791
Kawaguchi2021_curve,365.5670,221.0670,15.1659,0.05613
Kawaguchi2021_curve,365.6470,220.9070,15.1960,0.05964
Kawaguchi2021_curve,365.7260,220.8260,15.2258,0.06142
Kawaguchi2021_curve,365.8060,220.7470,15.2561,0.06315
Kawaguchi2021_curve,365.8870,220.5870,15.2867,0.06666
Kawaguchi2021_curve,365.8870,220.6660,15.2867,0.06493
Kawaguchi2021_curve,365.9670,220.5870,15.3171,0.06666
Kawaguchi2021_curve,366.0460,220.4270,15.3471,0.07017
Kawaguchi2021_curve,366.0460,220.5060,15.3471,0.06844
Kawaguchi2021_curve,366.1270,220.3470,15.3780,0.07193
Kawaguchi2021_curve,366.2060,220.2660,15.4082,0.07371
Kawaguchi2021_curve,366.2060,220.3470,15.4082,0.07193
Kawaguchi2021_curve,366.2870,220.1870,15.4391,0.07544
Kawaguchi2021_curve,366.3670,220.0270,15.4698,0.07895
Kawaguchi2021_curve,366.3670,220.1060,15.4698,0.07722
Kawaguchi2021_curve,366.4460,220.0270,15.5001,0.07895
Kawaguchi2021_curve,366.5260,219.8670,15.5309,0.08246
Kawaguchi2021_curve,366.5260,219.9460,15.5309,0.08073
Kawaguchi2021_curve,366.6060,219.7859,15.5618,0.08424
Kawaguchi2021_curve,366.6870,219.7070,15.5931,0.08597
Kawaguchi2021_curve,366.6870,219.7859,15.5931,0.08424
Kawaguchi2021_curve,366.7660,219.6270,15.6236,0.08772
Kawaguchi2021_curve,366.9260,219.3870,15.6858,0.09299
Kawaguchi2021_curve,366.9260,219.4680,15.6858,0.09121
Kawaguchi2021_curve,367.0070,219.3069,15.7173,0.09474
Kawaguchi2021_curve,367.0860,219.2260,15.7481,0.09652
Kawaguchi2021_curve,367.1682,219.1482,15.7803,0.09823
Kawaguchi2021_curve,367.2201,219.0947,15.8006,0.09940
Kawaguchi2021_curve,367.2357,219.0113,15.8067,0.10123
Kawaguchi2021_curve,367.2382,219.0211,15.8077,0.10101
Kawaguchi2021_curve,367.2452,218.9918,15.8104,0.10166
Kawaguchi2021_curve,367.2468,219.0261,15.8110,0.10090
Kawaguchi2021_curve,367.2480,219.0605,15.8115,0.10015
Kawaguchi2021_curve,367.2552,219.0311,15.8143,0.10079
Kawaguchi2021_curve,367.2576,219.0410,15.8153,0.10058
Kawaguchi2021_curve,367.2727,218.9578,15.8212,0.10240
Kawaguchi2021_curve,367.3243,218.9045,15.8415,0.10357
Kawaguchi2021_curve,367.4060,218.8270,15.8736,0.10527
Kawaguchi2021_curve,367.4860,218.7470,15.9051,0.10703
Kawaguchi2021_curve,367.5670,218.6670,15.9371,0.10878
Kawaguchi2021_curve,367.5929,218.6432,15.9473,0.10930
Kawaguchi2021_curve,367.6282,218.6049,15.9613,0.11014
Kawaguchi2021_curve,367.6708,218.5546,15.9782,0.11125
Kawaguchi2021_curve,367.7187,218.4953,15.9972,0.11255
Kawaguchi2021_curve,367.7698,218.4297,16.0175,0.11399
Kawaguchi2021_curve,367.8221,218.3605,16.0382,0.11551
Kawaguchi2021_curve,367.8735,218.2906,16.0587,0.11704
Kawaguchi2021_curve,367.9220,218.2227,16.0780,0.11853
Kawaguchi2021_curve,367.9654,218.1596,16.0953,0.11991
Kawaguchi2021_curve,368.0018,218.1041,16.1099,0.12113
Kawaguchi2021_curve,368.0290,218.0590,16.1208,0.12212
Kawaguchi2021_curve,368.0450,218.0270,16.1272,0.12282
Kawaguchi2021_curve,368.2060,217.9470,16.1917,0.12458
Kawaguchi2021_curve,368.2860,217.7870,16.2238,0.12809
Kawaguchi2021_curve,368.3660,217.7080,16.2560,0.12982
