# Ragimkhanov et al., Eur. Phys. J. D 80, 69 (2026), CC BY 4.0, Fig. 1b electron MTCS, vector-path extraction (scripts/build_n_elastic_tables.py). curve: opm = present OPM calculation; wang = Wang et al. 2014 BSR as re-plotted in that figure. E in eV, sigma in a0^2.
curve,E_eV,sigma_a0sq
opm,1059.85,0.137509
opm,1059.85,0.139454
opm,1069.39,0.13559
opm,1069.39,0.137509
opm,1077.93,0.133699
opm,1077.93,0.13559
opm,1086.73,0.131645
opm,1086.73,0.133699
opm,1105.37,0.129808
opm,1105.37,0.131645
opm,1114.29,0.127998
opm,1114.29,0.129808
opm,1123.29,0.126011
opm,1123.29,0.127998
opm,1132.47,0.124253
opm,1132.47,0.126011
opm,1142.55,0.12252
opm,1142.55,0.124253
opm,1151.78,0.120811
opm,1151.78,0.12252
opm,1161.19,0.118936
opm,1161.19,0.120811
opm,1170.57,0.117277
opm,1170.57,0.118936
opm,1180.99,0.117277
opm,1190.64,0.115641
opm,1200.25,0.114028
opm,1211.05,0.112276
opm,1220.83,0.110692
opm,1230.8,0.109148
opm,1230.8,0.110692
opm,1240.74,0.107471
opm,1240.74,0.109148
opm,1251.79,0.105971
opm,1251.79,0.107471
opm,1262.02,0.104477
opm,1262.02,0.105971
opm,1272.21,0.103019
opm,1272.21,0.104477
opm,1282.6,0.103019
opm,1294.02,0.101436
opm,1304.47,0.100021
opm,1315.13,0.0986103
opm,1325.75,0.0970952
opm,1337.55,0.0957408
opm,1337.55,0.0970952
opm,1348.48,0.0944053
opm,1348.48,0.0957408
opm,1359.37,0.0930735
opm,1359.37,0.0944053
opm,1370.47,0.0916434
opm,1370.47,0.0930735
opm,1382.68,0.0903651
opm,1382.68,0.0916434
opm,1393.97,0.0891045
opm,1393.97,0.0903651
opm,1405.23,0.0891045
opm,1501.5,0.0793793
opm,1515.01,0.0781596
opm,1515.01,0.0793793
opm,1527.25,0.0770571
opm,1527.25,0.0781596
opm,1539.58,0.0759822
opm,1539.58,0.0770571
opm,1552.16,0.0749223
opm,1552.16,0.0759822
opm,1565.98,0.0737711
opm,1565.98,0.0749223
opm,1578.77,0.0727304
opm,1578.77,0.0737711
opm,1591.52,0.0717159
opm,1591.52,0.0727304
opm,1604.38,0.070614
opm,1604.38,0.0717159
opm,1618.81,0.069629
opm,1618.81,0.070614
opm,1631.88,0.0686467
opm,1631.88,0.069629
opm,1645.06,0.0676892
opm,1645.06,0.0686467
opm,1658.35,0.0666491
opm,1658.35,0.0676892
opm,1673.27,0.0657194
opm,1673.27,0.0666491
opm,1686.78,0.0647923
opm,1686.78,0.0657194
opm,1700.41,0.0647923
opm,1848.06,0.056041
opm,1863.15,0.0552592
opm,1863.15,0.056041
opm,1878.2,0.0544102
opm,1878.2,0.0552592
opm,1894.92,0.0536426
opm,1894.92,0.0544102
opm,1910.4,0.0528944
opm,1910.4,0.0536426
opm,1925.83,0.0521565
opm,1925.83,0.0528944
opm,1941.56,0.0513551
opm,1941.56,0.0521565
opm,1958.85,0.0506307
opm,1958.85,0.0513551
opm,1974.85,0.0499244
opm,1974.85,0.0506307
opm,1990.8,0.0499244
opm,2006.88,0.049228
opm,2024.93,0.0484716
opm,2041.29,0.0471212
opm,2041.29,0.0477879
opm,2057.96,0.0471212
opm,2236.66,0.0407567
opm,2254.72,0.0401817
opm,2254.72,0.0407567
opm,2273.14,0.0395643
opm,2273.14,0.0401817
opm,2293.38,0.0390124
opm,2293.38,0.0395643
opm,2311.9,0.0384621
opm,2311.9,0.0390124
opm,2330.79,0.0379256
opm,2330.79,0.0384621
opm,2349.61,0.0373429
opm,2349.61,0.0379256
opm,2370.53,0.036822
opm,2370.53,0.0373429
opm,2389.9,0.0363025
opm,2389.9,0.036822
opm,2409.2,0.0357447
opm,2409.2,0.0363025
opm,2428.88,0.0352461
opm,2428.88,0.0357447
opm,2450.51,0.0347545
opm,2450.51,0.0352461
opm,2470.3,0.0342642
opm,2470.3,0.0347545
opm,2490.25,0.0337377
opm,2490.25,0.0342642
opm,2510.36,0.0332671
opm,2510.36,0.0337377
opm,2532.94,0.0328031
opm,2532.94,0.0332671
opm,2553.4,0.0323403
opm,2553.4,0.0328031
opm,2574.26,0.0318434
opm,2574.26,0.0323403
opm,2595.04,0.0313992
